regulator_gene_name	target_gene_name	context_name	regulator_beta	regulator_se	regulator_pvalue
gene1	gene2	Adrenal_Gland	1.41841313829101	0.287599815366234	2.30458115205058e-06
gene1	gene2	Artery_Aorta	0.342504326729566	0.537162584858845	0.524365237321644
gene1	gene2	Artery_Tibial	0.412689553569448	0.448657926344719	0.358360394252208
gene1	gene2	Brain_Hypothalamus	-0.277651995344446	0.554569975846787	0.61776713653771
gene1	gene2	Brain_Nucleus_accumbens_basal_ganglia	-0.365679471134468	0.456122016616782	0.424416032692004
gene1	gene2	Brain_Substantia_nigra	0.854040199411001	0.34785598987041	0.0166844202759324
gene1	gene2	Colon_Sigmoid	1.04409424244678	0.206587584265225	1.08269831115377e-06
gene1	gene2	Esophagus_Mucosa	0.0796312714013028	0.185994467471523	0.668864229136197
gene1	gene2	Minor_Salivary_Gland	-0.0627730779652918	0.43954613420688	0.886853777601492
gene1	gene2	Pancreas	-0.140570377975084	0.419838595575838	0.738178503978251
gene1	gene2	Pituitary	1.36228817249234	0.307225073727624	1.8376970364018e-05
gene1	gene2	Prostate	-2.05389719381591	0.884953455309298	0.0222056385244046
gene1	gene2	Skin_Not_Sun_Exposed_Suprapubic	-0.370958073918949	0.30515496393635	0.22516149075533
gene1	gene2	Skin_Sun_Exposed_Lower_leg	-0.099131462293522	0.155116133155673	0.523189558491918
gene1	gene2	Testis	0.826884439527668	0.298788470428632	0.00622376908023647
gene1	gene2	Thyroid	1.22661439605836	0.176644833065763	2.01516400754643e-11
gene1	gene2	Vagina	-1.40546553334034	0.763538917951914	0.0690706714959979
