regulator_gene_name	target_gene_name	context_name	regulator_beta	regulator_se	regulator_pvalue
gene1	gene2	Adrenal_Gland	0.631520482332358	0.126462781528436	1.79760387138448e-06
gene1	gene2	Artery_Aorta	0.556446163177533	0.091946527526523	5.96221010208863e-09
gene1	gene2	Artery_Tibial	0.597500292108175	0.0566050444246522	1.8267080095264e-22
gene1	gene2	Brain_Hypothalamus	0.577390434159577	0.078156744482452	6.6250938865826e-11
gene1	gene2	Brain_Nucleus_accumbens_basal_ganglia	0.748633309781232	0.105052078717386	1.17555853861927e-10
gene1	gene2	Brain_Substantia_nigra	0.405420125575848	0.0849834409749755	1.07839959017389e-05
gene1	gene2	Colon_Sigmoid	0.538021547885926	0.075462540945995	2.62325963981115e-11
gene1	gene2	Esophagus_Mucosa	0.449953603815857	0.0383949171814337	4.01956741854689e-26
gene1	gene2	Minor_Salivary_Gland	0.373824866068354	0.0752350072652753	5.04745210324626e-06
gene1	gene2	Pancreas	0.616560735983635	0.103407982854837	1.49346108897888e-08
gene1	gene2	Pituitary	0.387261137103714	0.052527488735613	1.6455114710817e-11
gene1	gene2	Prostate	0.603007728669093	0.122200014227828	3.06475202108506e-06
gene1	gene2	Skin_Not_Sun_Exposed_Suprapubic	0.518696541647914	0.0460880815981477	2.92277387670471e-24
gene1	gene2	Skin_Sun_Exposed_Lower_leg	0.359909141750239	0.0285991434884726	4.76389604679021e-30
gene1	gene2	Testis	0.740227395512375	0.104688824881258	3.28622817065761e-11
gene1	gene2	Thyroid	0.549057957858975	0.054307584824933	4.4207816669076e-21
gene1	gene2	Vagina	0.380154903482931	0.0933939261686301	0.000106540774397843
